Question;Response;Author ID;Predicted Category
Well if we turn to your research. I mean one of you has shown that people are frequently irrational in their economic decision making and the other has shown that the market mechanism works efficiently, at least in the lab. How would you reconcile these seemingly different views, I mean both of you?;"Vernon Smith: Question to me?
To both of you.
Vernon Smith: Well, let me begin. I think it’s fairly simple. In experimental economics we have three classes of results. We have situations in which people do better for themselves as individuals and as a group and is predicted by economic theory. Ok. I call that super rationality. We have a second class of results where the predictions of economic theory do very well and they conform and I’ll come back to what those are shortly and thirdly we have results which people do not do as well as predicted by theory. The first is in two person extensive form games. We use the term personal exchange there. Too many people cooperate relative to the predictions of the economic, not everyone in single play games but up to half and so we have to come to terms with that. The experiments where the theory of markets does extremely well is where we’re talking about production and consumption markets; flows. We think of consumers as daily or regularly enjoying the value from what they buy in markets and producers regularly incurring a cost to produce that.
Those markets, if you study them in the lab are remarkable efficient and although their ability to converge to the equilibrium predicted by the theory varies with the institution, they basically all function quite well but the third class of phenomena where the predictions are not good is in what we call asset markets or capital markets and there’s an inherent uncertainty in stock markets and we capture that in these laboratory games and those do not converge quickly and easily to what you might call rational expectations equilibrium. If you hold the environment constant for kind of 3 times back, and now we’re talking about 6 hours of experiment, it gets home, ok, but that’s not very inspiring or encouraging because the world out there it doesn’t stand still while people look for the rational expectations equilibrium. So does that help to clarify?
Yes, I think so. Professor Kahneman?
Daniel Kahneman: Well the first comment I would make is about the word irrationality as characterising the research that we have done. I never think of myself as having demonstrated irrationality. There is a definition of rationality within the contest of economic theory or decision theory more broadly, which is a completely unrealistic conception of a human agent with a complete preference order about all states of the world, with a Bayesian set of beliefs about all possible states and this defines rationality in the context of economic theory.
Now as a descriptive hypothesis this is a totally implausible hypothesis and, you know, it is fairly easy to show that that hypothesis isn’t true and we’ve been doing that, my late colleague Amos Tversky and I, and many others. It’s also not particularly interesting to show that it isn’t true because it’s so easy to do. We have been able to show some of the ways in which people depart from this ideal of rationality but this is not irrationality. People are reasonable, they’re prudent agents. It’s just that the definition of rationality that is used in economic theory is, I think, a very implausible definition and it fails descriptively and we have been able to document some of these failures and explain them.";845;Creativity
"Both of you have worked in the frontier between different fields; economics and psychology and natural sciences with experiments. What kind of difficulties or what kind of challenges did that implement for you?";Well, I think if you are curious about some of the things we observe in economics and you want to better understand this phenomena, whether it’s in a laboratory or the field, I really think you have to reach outside of economics because economics, although it has an incredible body of technique it’s developed and the methodology that has value it’s much too, I think, restrictive to embrace the range of observations. So you have to reach outside and actually if you go back to the Scottish philosophers, David Hume and Adam Smith, they were not narrowly oriented in the way that we often think of as modern economics. Adam Smith had huge breadth. He wrote the definitive History of Astronomy, 18th century. He was probably the first great post Newtonian scientist and he wrote on other aspects of human sociality besides just what has become known as economics narrowly construed.;845;Creativity
I guess he was a philosopher of moral philosophy wasn’t he?;"Well, yes and of course we didn’t have a clear delineation of the fields like we have now. Well I think a lot of the work on experimental economics points us back to that period and a need to pick up on some of the inspiration that was behind people like Smith and Ferguson and Hume and others and I hope in fact my work will help to encourage that, not because they had it right, it’s because we know a lot more, obviously, after 200 years but there’s certain themes there that we’ve lost, that we’ve sort of abandoned and that’s unfortunate.
Professor Kahneman?
Daniel Kahneman: Amos Tversky and I started working together on the field of judgment and decision making and we were just doing psychology. So we were not intending to talk across the disciplines but eventually, and that came as a bit of a surprise to us, the work that we did was, to some extent, influential in economics. I mean this is of course why the prize is given because of the influence. Now what is remarkable to me about this is actually both the ease and the difficulty of communicating across disciplines. In our case I think we’ve had a very easy time. You know, it’s not that economists have flocked to the ideas that we’re bringing, you know, behavioural economics is a minority movement and not everybody is convinced of its value but by and large I would say that, you know, I have been quite surprised by, you know 20 years is a short time for ideas to have an effect and, you know, our ideas have had whatever influence they’ve had relatively quickly.
What impresses me is how chancy this is, that is this is entirely accidental, that is the communication if we had published exactly the same paper, which is cited in the award prospect theory, if we’d published that word for word in Psychological Review, in the Journal of Psychological Theory there would have been no Nobel Prize for this work today. So it was because it happened to be published in Econometrica that this happened.
But also the most cited paper in Econometric ever.
Daniel Kahneman: Yes, but in part it is a very highly cited paper. I should add, you know, this doesn’t make it all that influential in economics because most of the people who cite the paper are not economists. So I don’t know how many economists cited it; it’s a well known paper in economics as well but if it had been published in another discipline it would simply not have had an impact and I think this is in part what Vernon is saying, economists do not spontaneously look outside the discipline. So if you look at the journals that are cited in the economics literature they tend to be economics journals. So we were quite lucky, you know, in the sense that publishing in Econometrica and we did that because it was the prestige journal for decision theory at that time. We thought we had a good paper and so we sent it to the best journal that would publish it and we were then lucky in a completely different way in that a young and very brilliant economist, Richard Thaler, read about our work actually before it was published and was influenced by it and he really, not we, developed behavioural economics. So it was his doing and it was through his work that our work became known and he deserves a great deal of the credit for, you know, what’s happened since.";845;Mentor(Role Models)
Ok. Before we leave the research side of things, I mean you published your award winning papers before 50. Is there a life in research after 50 or is economics a young man’s game like mathematics?;"Well I think that’s probably not unusual across most of the prizes although I’m just conjecturing that that’s probably true. Certainly Albert Einstein had some of his basic instincts before he was of age and particularly I think that’s true in physics but it’s young minds that tend to get inspired. I think it also has to do with the sociology of professional work. It’s young people who chart new courses that change things. It’s not the existing scientific community that suddenly has a transformation and, you know, my friend Paul Samuelson points out that science progresses funeral by funeral.
Daniel Kahneman: Well, I mean to your question of whether there is life after 50, I certainly hope so. I think Vernon has done some of the work that, you know, has done wonderful work in very recent years so there may be life after 70 and, you know, to some extent this again is accidental and is self selection, that is if you are going to have people who are going to have important ideas, they may have them fairly early in their career and then they spend the rest of their careers elaborating on these ideas and so it looks as if, you know, people have their best ideas early on but that’s because they spend the rest of their lives working on them and I think, you know, this happens to most people who have one important theme to develop.
Vernon Smith: Well I think young people are sort of maybe more likely to make technical or mythological breakthroughs but just looking at my own history I didn’t really appreciate the full ramifications at the time I was doing that work. I didn’t come close to it and I think that can come with maturity so that the contribution you can make after aged 50, and I hope after age 75, is perhaps a different type of contribution than one makes when you’re younger.
Daniel Kahneman: Yes, I would echo that. It takes a long time to understand what you’ve been saying. So, you know, you say it first and then, over the years, you understand what it was that you really meant because you don’t know that immediately. In my particular case I was fortunate because there were two of us and that process of understanding what we said worked faster because we understood each other but when you work alone, understanding what you’re saying is a long drawn process.
Vernon Smith: Well and I recognise, understood early that a component of what I was doing had to do with institutions and rule systems but I didn’t begin to understand it the way I now do and a lot of that understanding came from interacting with other people over the years, Charlie Plott is a prime example, and also Martin Shubik, he and I are exactly the same age. I think I’ve known Martin for over 40 years, I think about 45 years and we often exchanged ideas, having to do with institutions and Martin was very interested in and that interchange was very valuable to me even though we never worked together and of course I worked with Charlie Plott and a lot of our insights came working together.";845;Motivation
Well how important has it been to you? I mean your scientific result can be applied to, what did Nobel say, to the benefit of mankind? I mean you followed your track, you found something that was interesting and pursued that?;"Daniel Kahneman: I would say that the conscious sense of doing something that could be truly beneficial, well I had that early on when I thought that people could be educated to think, you know, more closely and these efforts of mine have not been rewarded. In recent years I’m consciously trying to do something for the benefit of mankind and this is to develop new and better measures of human welfare and human wellbeing that could be applied as another measure of how society is doing and I’m doing that with collaborators, including an economist at Princeton, Alan Krueger, and that is truly with the idea of trying to do something that could be useful to policy making.
You have something to say Vernon?
… the laboratory is a very useful tool for allowing people to get experience …
Vernon Smith: Well, I’ve become more interested, particularly in the last 20 years roughly as against the first 20 years, in utilising what we’ve learned about markets to do a better job of helping to design markets in new areas where people don’t have any experience, any field experience and I think the laboratory is a very useful tool for allowing people to get experience. It doesn’t provide the final experience and the final answers but the point is it is experiential and it gives people an opportunity to try out and test bed new rule systems, practitioners for example, and we found business and government, in some situations, very receptive to that. In governments, particularly in New Zealand and Australia, with respect to the liberalisation of electric power and I think we’ve seen in the California fiasco how bad things can be if you don’t think about some fundamental issues and furthermore, in that case, a lot those issues had long been studied in the laboratory and in fact influenced New Zealand and Australia but we didn’t have an opportunity to have that much influence in California. It isn’t that we didn’t communicate with any of the people that might have made a difference, it’s just that we couldn’t convince them or influence them enough. And also it turned out to be far worse than even we would have imagined as to the consequences of really not getting some elementary features of these markets right.
Daniel Kahneman: They need some help. Many years ago when we were studying failures of rationality in judgement and decision making I thought, you know, that there was a contribution to be made, for example to government decision making or to making political decisions but 25-30 years ago that was a period when the discipline of decision analysis looked extremely helpful and hopeful and it seemed as if the combination of psychology and decision analysis could be very, very useful. It has not been. I mean by and large I think this has been a failure and the reasons are quite interesting. The reasons are that the leaders do not want the help, that is the people who make decisions, important decisions, by and large do not want the kind of help that decision analysis or decision aids have to offer that we would think, you know, would certainly improve the quality of decision making. So there is a great deal of resistance and that, by itself, is quite interesting, that it’s been 30 or 40 years, you know, since decision analysis was first proposed and, by and large, very little has happened.";845;Impact of Nobel prize on you
Well Professor Kahneman, what made you decide to become a scientist?;"Daniel Kahneman: I wanted to be a philosopher actually and I decided, I became interested in psychology as a substitute for philosophy, as a way of answering questions about the human condition but answering them by looking at facts rather than by discussing words. So that’s how I became a psychologist.
And Professor Smith, your answer too?
Vernon Smith: Actually I was interested in philosophy at one point. This is before I really was seriously into my undergraduate training, so it was just a reading interest of my own and I read Sir James Jeans’ Physics and Philosophy and Sir Arthur Eddington’s books and Burton Russell; I was interested in science and philosophy and originally I expected to study science and I went to Caltech for that reason and I did study physics and would have taken my degree in physics, my undergraduate degree, except for one hurdle.
So I took electrical engineering because I chickened out …
To take the degree in physics you had to take Smyth’s course, a famous course that was very, very hard to get through. By taking my degree in electrical engineering I didn’t have to take Smyth’s course but I took everything else in physics. So I took electrical engineering because I chickened out and I wanted to finish on time. But I got interested in economics as a senior; I took a course in economics and at the time I thought, well you know, this just looks like physics and little did I know how deceptive that was. But anyway that was my naïve view at the time.";846;Motivation
Well if we turn to your research. I mean one of you has shown that people are frequently irrational in their economic decision making and the other has shown that the market mechanism works efficiently, at least in the lab. How would you reconcile these seemingly different views, I mean both of you?;"Vernon Smith: Question to me?
To both of you.
Vernon Smith: Well, let me begin. I think it’s fairly simple. In experimental economics we have three classes of results. We have situations in which people do better for themselves as individuals and as a group and is predicted by economic theory. Ok. I call that super rationality. We have a second class of results where the predictions of economic theory do very well and they conform and I’ll come back to what those are shortly and thirdly we have results which people do not do as well as predicted by theory. The first is in two person extensive form games. We use the term personal exchange there. Too many people cooperate relative to the predictions of the economic, not everyone in single play games but up to half and so we have to come to terms with that. The experiments where the theory of markets does extremely well is where we’re talking about production and consumption markets; flows. We think of consumers as daily or regularly enjoying the value from what they buy in markets and producers regularly incurring a cost to produce that.
Those markets, if you study them in the lab are remarkable efficient and although their ability to converge to the equilibrium predicted by the theory varies with the institution, they basically all function quite well but the third class of phenomena where the predictions are not good is in what we call asset markets or capital markets and there’s an inherent uncertainty in stock markets and we capture that in these laboratory games and those do not converge quickly and easily to what you might call rational expectations equilibrium. If you hold the environment constant for kind of 3 times back, and now we’re talking about 6 hours of experiment, it gets home, ok, but that’s not very inspiring or encouraging because the world out there it doesn’t stand still while people look for the rational expectations equilibrium. So does that help to clarify?
Yes, I think so. Professor Kahneman?
Daniel Kahneman: Well the first comment I would make is about the word irrationality as characterising the research that we have done. I never think of myself as having demonstrated irrationality. There is a definition of rationality within the contest of economic theory or decision theory more broadly, which is a completely unrealistic conception of a human agent with a complete preference order about all states of the world, with a Bayesian set of beliefs about all possible states and this defines rationality in the context of economic theory.
Now as a descriptive hypothesis this is a totally implausible hypothesis and, you know, it is fairly easy to show that that hypothesis isn’t true and we’ve been doing that, my late colleague Amos Tversky and I, and many others. It’s also not particularly interesting to show that it isn’t true because it’s so easy to do. We have been able to show some of the ways in which people depart from this ideal of rationality but this is not irrationality. People are reasonable, they’re prudent agents. It’s just that the definition of rationality that is used in economic theory is, I think, a very implausible definition and it fails descriptively and we have been able to document some of these failures and explain them.";846;Creativity
"Both of you have worked in the frontier between different fields; economics and psychology and natural sciences with experiments. What kind of difficulties or what kind of challenges did that implement for you?";Well, I think if you are curious about some of the things we observe in economics and you want to better understand this phenomena, whether it’s in a laboratory or the field, I really think you have to reach outside of economics because economics, although it has an incredible body of technique it’s developed and the methodology that has value it’s much too, I think, restrictive to embrace the range of observations. So you have to reach outside and actually if you go back to the Scottish philosophers, David Hume and Adam Smith, they were not narrowly oriented in the way that we often think of as modern economics. Adam Smith had huge breadth. He wrote the definitive History of Astronomy, 18th century. He was probably the first great post Newtonian scientist and he wrote on other aspects of human sociality besides just what has become known as economics narrowly construed.;846;Creativity
I guess he was a philosopher of moral philosophy wasn’t he?;"Well, yes and of course we didn’t have a clear delineation of the fields like we have now. Well I think a lot of the work on experimental economics points us back to that period and a need to pick up on some of the inspiration that was behind people like Smith and Ferguson and Hume and others and I hope in fact my work will help to encourage that, not because they had it right, it’s because we know a lot more, obviously, after 200 years but there’s certain themes there that we’ve lost, that we’ve sort of abandoned and that’s unfortunate.
Professor Kahneman?
Daniel Kahneman: Amos Tversky and I started working together on the field of judgment and decision making and we were just doing psychology. So we were not intending to talk across the disciplines but eventually, and that came as a bit of a surprise to us, the work that we did was, to some extent, influential in economics. I mean this is of course why the prize is given because of the influence. Now what is remarkable to me about this is actually both the ease and the difficulty of communicating across disciplines. In our case I think we’ve had a very easy time. You know, it’s not that economists have flocked to the ideas that we’re bringing, you know, behavioural economics is a minority movement and not everybody is convinced of its value but by and large I would say that, you know, I have been quite surprised by, you know 20 years is a short time for ideas to have an effect and, you know, our ideas have had whatever influence they’ve had relatively quickly.
What impresses me is how chancy this is, that is this is entirely accidental, that is the communication if we had published exactly the same paper, which is cited in the award prospect theory, if we’d published that word for word in Psychological Review, in the Journal of Psychological Theory there would have been no Nobel Prize for this work today. So it was because it happened to be published in Econometrica that this happened.
But also the most cited paper in Econometric ever.
Daniel Kahneman: Yes, but in part it is a very highly cited paper. I should add, you know, this doesn’t make it all that influential in economics because most of the people who cite the paper are not economists. So I don’t know how many economists cited it; it’s a well known paper in economics as well but if it had been published in another discipline it would simply not have had an impact and I think this is in part what Vernon is saying, economists do not spontaneously look outside the discipline. So if you look at the journals that are cited in the economics literature they tend to be economics journals. So we were quite lucky, you know, in the sense that publishing in Econometrica and we did that because it was the prestige journal for decision theory at that time. We thought we had a good paper and so we sent it to the best journal that would publish it and we were then lucky in a completely different way in that a young and very brilliant economist, Richard Thaler, read about our work actually before it was published and was influenced by it and he really, not we, developed behavioural economics. So it was his doing and it was through his work that our work became known and he deserves a great deal of the credit for, you know, what’s happened since.";846;Mentor(Role Models)
Ok. Before we leave the research side of things, I mean you published your award winning papers before 50. Is there a life in research after 50 or is economics a young man’s game like mathematics?;"Well I think that’s probably not unusual across most of the prizes although I’m just conjecturing that that’s probably true. Certainly Albert Einstein had some of his basic instincts before he was of age and particularly I think that’s true in physics but it’s young minds that tend to get inspired. I think it also has to do with the sociology of professional work. It’s young people who chart new courses that change things. It’s not the existing scientific community that suddenly has a transformation and, you know, my friend Paul Samuelson points out that science progresses funeral by funeral.
Daniel Kahneman: Well, I mean to your question of whether there is life after 50, I certainly hope so. I think Vernon has done some of the work that, you know, has done wonderful work in very recent years so there may be life after 70 and, you know, to some extent this again is accidental and is self selection, that is if you are going to have people who are going to have important ideas, they may have them fairly early in their career and then they spend the rest of their careers elaborating on these ideas and so it looks as if, you know, people have their best ideas early on but that’s because they spend the rest of their lives working on them and I think, you know, this happens to most people who have one important theme to develop.
Vernon Smith: Well I think young people are sort of maybe more likely to make technical or mythological breakthroughs but just looking at my own history I didn’t really appreciate the full ramifications at the time I was doing that work. I didn’t come close to it and I think that can come with maturity so that the contribution you can make after aged 50, and I hope after age 75, is perhaps a different type of contribution than one makes when you’re younger.
Daniel Kahneman: Yes, I would echo that. It takes a long time to understand what you’ve been saying. So, you know, you say it first and then, over the years, you understand what it was that you really meant because you don’t know that immediately. In my particular case I was fortunate because there were two of us and that process of understanding what we said worked faster because we understood each other but when you work alone, understanding what you’re saying is a long drawn process.
Vernon Smith: Well and I recognise, understood early that a component of what I was doing had to do with institutions and rule systems but I didn’t begin to understand it the way I now do and a lot of that understanding came from interacting with other people over the years, Charlie Plott is a prime example, and also Martin Shubik, he and I are exactly the same age. I think I’ve known Martin for over 40 years, I think about 45 years and we often exchanged ideas, having to do with institutions and Martin was very interested in and that interchange was very valuable to me even though we never worked together and of course I worked with Charlie Plott and a lot of our insights came working together.";846;Motivation
Well how important has it been to you? I mean your scientific result can be applied to, what did Nobel say, to the benefit of mankind? I mean you followed your track, you found something that was interesting and pursued that?;"Daniel Kahneman: I would say that the conscious sense of doing something that could be truly beneficial, well I had that early on when I thought that people could be educated to think, you know, more closely and these efforts of mine have not been rewarded. In recent years I’m consciously trying to do something for the benefit of mankind and this is to develop new and better measures of human welfare and human wellbeing that could be applied as another measure of how society is doing and I’m doing that with collaborators, including an economist at Princeton, Alan Krueger, and that is truly with the idea of trying to do something that could be useful to policy making.
You have something to say Vernon?
… the laboratory is a very useful tool for allowing people to get experience …
Vernon Smith: Well, I’ve become more interested, particularly in the last 20 years roughly as against the first 20 years, in utilising what we’ve learned about markets to do a better job of helping to design markets in new areas where people don’t have any experience, any field experience and I think the laboratory is a very useful tool for allowing people to get experience. It doesn’t provide the final experience and the final answers but the point is it is experiential and it gives people an opportunity to try out and test bed new rule systems, practitioners for example, and we found business and government, in some situations, very receptive to that. In governments, particularly in New Zealand and Australia, with respect to the liberalisation of electric power and I think we’ve seen in the California fiasco how bad things can be if you don’t think about some fundamental issues and furthermore, in that case, a lot those issues had long been studied in the laboratory and in fact influenced New Zealand and Australia but we didn’t have an opportunity to have that much influence in California. It isn’t that we didn’t communicate with any of the people that might have made a difference, it’s just that we couldn’t convince them or influence them enough. And also it turned out to be far worse than even we would have imagined as to the consequences of really not getting some elementary features of these markets right.
Daniel Kahneman: They need some help. Many years ago when we were studying failures of rationality in judgement and decision making I thought, you know, that there was a contribution to be made, for example to government decision making or to making political decisions but 25-30 years ago that was a period when the discipline of decision analysis looked extremely helpful and hopeful and it seemed as if the combination of psychology and decision analysis could be very, very useful. It has not been. I mean by and large I think this has been a failure and the reasons are quite interesting. The reasons are that the leaders do not want the help, that is the people who make decisions, important decisions, by and large do not want the kind of help that decision analysis or decision aids have to offer that we would think, you know, would certainly improve the quality of decision making. So there is a great deal of resistance and that, by itself, is quite interesting, that it’s been 30 or 40 years, you know, since decision analysis was first proposed and, by and large, very little has happened.";846;Impact of Nobel prize on you
Yes, and the first question would be how did you decide to study economics? And maybe we could start with George?;"George A. Akerlof: How decide to study economics? Well I think I always wanted to be an economist, if there was such a thing. I think I didn’t know that there were really economists until I went to college. And I knew that there was such a thing. I was always interested in economics, for a very long time. And I remember at the age of 10, I asked the following question: If one person loses their job and then they stop spending, and I was a little boy, so I decided, one father, remember this was the old days, so if one father lost his job, wouldn’t that cause that family to stop spending their money and that would cause another family, another father to lose his job and that would cause that family to stop spending.
And so I was worried that the economy would have a very bleak reaction to this. And it wasn’t until I went and took freshman economics that I learned the answer to that, which is that the family would only stop spending, let’s say, three quarter of it’s money, it would save a quarter, and so the multiplier wouldn’t be that great. So I think I had a reasonable number of such questions long before I knew that economics existed.
What about you Dr Spence?
A. Michael Spence: I was not thinking about infinite multipliers when I was 10. But I did have a father who was a PhD in commerce and finance and an intellectual man. And so I had a feeling, probably about the time I went to college, that I would try to be a scholar and teacher, but I didn’t know which field. And I picked economics at the end of my undergraduate time because it seemed to be a really nice combination of theory, including mathematical theory on one hand, and things that are quite practical that you can touch and see and feel. So I picked it and I consciously thought of it as an experiment to see if I liked it. And it worked.
Finally, Dr Stiglitz?
I love mathematics, but I decided I really wanted to work on problems of society …
Joseph E. Stiglitz: I had always been interested in economics and social problems when I had been young, maybe a little older than George, in high school. But when I went to Amherst College I studied physics and math. And then towards the end of my third year, my junior year, I decided that I was more interested in working on social problems, problems with society and using the mathematics I’d learned and combining that with my interest in history and society, to work on economic problems. And so that was really the decision. I love mathematics, but I decided I really wanted to work on problems of society.
George A. Akerlof: So I think in addition, I felt that the one thing that you could do to make people better off and able to lead self-fulfilling lives was if people have more money then they’ll have fewer constraints on their lives, and so they can make more of themselves and lead happier lives. So that was actually another reason for studying economics.";847;Motivation
What about the asymmetric information? I always wondered why things happened in the ‘60’s and early ‘70’s, why didn’t it happen earlier or why did it happen at this time?;"George A. Akerlof: I can speak for myself, I think as far as I’m concerned it was an outgrowth of the work on quality in growth theory. That in growth theory, especially Joe’s and my thesis advisor, Robert Solow, he worried and made models of different qualities of capital. So vintage capital and capital in which one could choose the capital labour before the capital was built, but not afterwards. And so that made it possible, I think, because he had figured out how to model different qualities that made it possible to make models with asymmetric information, in which the key variable was the quality of the goods. Prior to that time I think we didn’t have enough mathematical ability to deal with what happened, not only when price varied, but when quality varied, especially in some continuous way.
Joseph E. Stiglitz: I think it was in a slightly different origin in my case. I was persuaded that models that we were being taught didn’t make a lot of sense for describing lots of the problems, and that there were a number of key problems, lack of perfect competition, lack of perfect information. Work had been done on the consequences of lack of perfect competition, theories of imperfect competition like Joan Robinson and Chamberlain. And the next natural question was what to do about imperfections of information? I think the key thing was that there were some very specific questions that at least I began to address, posed when I went to Kenya about how much should they be investing in education, that lead to what is the role of education? Was education just human capital, which had been the older view? Or whether other issues of education, like credentials or providing information. I think that was critical in the development.
There had been people working on generic equilibrium models with imperfect information. In other words, bringing in information into very abstract models. But they did it in such an abstract way that the questions weren’t posed in ways that lead to interesting answers. Beginning on the other side, what was a very specific issue and you started thinking about just a simple thing, assuming that two abilities, one low ability and a high ability, how do you sort them out? How do these people who are more able convince others that they’re more able? And by taking the simplest possible problem of information and thinking about how you solve that and then building up from that, rather than the abstract and try and deduce it. I think that was the critical breakthrough and I think it’s what all three of us had in common in our work, beginning with a very concrete problem and then generalising it.
A. Michael Spence: That’s very accurate. I think in addition there may have been some very interesting work in game theory, or at the application of game theory. Once again, as Joe said, not highly mathematical, most general game theory. But a game theory that was used to deal with deterrents problems and what not. And so every time you turn around there was a question about information, where it resided, how it was communicated, who knew what and when? And very bright people like Tom Schelling, for example, had started to write about it. When I started doing this, I’ll just add this one thing, there wasn’t anything there.
There was some writing by Bill Vickrey, and he was the one who I think firstly pointed out that information is a very unusual commodity and that when Joe gives it to me, when he possesses it we both have it. And I got quite intrigued. But I was sent up a whole lot of blind alleys. There are people who sent me off to study signal processing theory, because that was what they called information theory. I learned absolutely nothing useful except what the capacity of a fibre optic cable is. So there was all that going on at the same time.
Joseph E. Stiglitz: One of the key things that came out of that earlier work is the importance of how to make inferences. It wasn’t the mathematics of how you make inferences, but the conceptual process of what are the signals, what are the things from which we make inferences about what somebody else is or what the world is like? And I think that, not at the mathematical level, but at the conceptual level of this process of making inferences is really very important I think and is a common element in all three of our work.
… the reaction from the editors, and possibly also from the referees, was this was not economics and therefore should not be accepted …
George A. Akerlof: I think one interesting aspect of this is when this work was initially done it wasn’t considered to be economics. So I submitted the market for lemons to three separate journals before it was finally accepted at a fourth. And the reaction from the editors, and possibly also from the referees, was this was not economics and therefore should not be accepted. And I think that’s because in fact its methodology was different, that this was a different way of looking at price theory.
It took some time before people saw that you could do price theory this way. And I think what was so different was that instead of arguing from the top down, from taking some general principles about how markets work and pricing systems work, instead we argued from the bottom up. So we took a look at examples of such things as insurance markets and education markets, and credit markets, and market for used cars. And then argued from the way we thought those specific examples work to how markets should look.
Joseph E. Stiglitz: We looked for general principles.
George A. Akerlof: From the particular.
Joseph E. Stiglitz: And it turned out that these general principles applied very broadly, but looking at ways in which they applied differently in different markets also gave you a lot of insight into the general principles.
A. Michael Spence: And the editors that rejected George’s paper have since been fired.";847;Creativity
What are you doing now? What kind of research are you doing now?;"Joseph E. Stiglitz: One strand of research is a continuation of the problems of economics of information. It has gone into areas such as macro-economics, organisation theory, the insights of information economics has lead to theories of corporate finance, how the firms finance themselves, that has lead it to theories of firm behaviour, the theory of the risk averse firm. That has lead in turn to macro-economic theories of how the aggregate behaviour of the economy behaves. And that in turn has lead to, as one example, monetary theories, money rather than just being, monetary theory used to focus on transactions, the role of money. But in fact most transactions today use credit. And what is credit? It’s ascertaining who is credit worthy, which is an information issue. So it’s really reformulating monetary economics on the basis of theories of asymmetric information.
There’s another line of research that I’ve been very heavily engaged in which grows out of my work at the World Bank, and that is issues of development, issues of strategies for economies and transition from communism to a market economy. Both of those have a usage of the ideas that have come out, but broaden other ideas as well. Just to give you one example, a key aspect of the doctrines in development economics was a set of ideas called the Washington consensus, which was based on the belief in market fundamentalism. That markets by themselves lead to efficient outcomes. And that’s based on a belief of markets with perfect information, that set of ideas doesn’t work very well in developed economies, but in less developed economies it’s absolutely abysmal theory. And trying to think through how markets in developing countries are affected by the lack of information, as an example, and how that affects development strategies, is one of the key issues with which I’ve been concerned.
… I think the internet actually has moved the parameters, informational structure parameters and the number of markets …
A. Michael Spence: I had this somewhat unusual career and I stopped in mid 1987, became an academic administrator so that I, in the language of venture capital, this is kind of a restart. But I think the thing that I’m going to focus on when I know that I have the time again to do research is I think the internet actually has moved the parameters, informational structure parameters and the number of markets, in ways that, and I’m not sure of this, may require us to really look at the models. So I don’t think that means throwing the whole lot that we have out, but I think it probably does mean looking again. For example, and just to take one that was mentioned briefly this afternoon, if most people post prices and they’re accessible on the internet, the search cost that George Stigler did in some interesting early work, have simply disappeared.
So the naive conclusion I guess is that, you know, there isn’t any other place to hide based on that kind of search cost. But probably the correct answer is that some smart young economists, or maybe even some older ones like us, ought to take a look at the question of whether as a matter of strategy people are going to post prices anymore. And if not, what is actually going to happen in the market? That kind of thing.
Joseph E. Stiglitz: Or we’ll come back to the kinds of issues the quality, you can’t post quality.
A. Michael Spence: No they can’t post quality.
Joseph E. Stiglitz: And that is at the heart of a lot of what our work was concerned with. And that will never be well described on the internet, or perfectly described on the internet.
George A. Akerlof: I think beyond working on asymmetric information, what I’ve sort of been doing and making a career of is thinking about what assumptions or not in economics, which would make a difference. So I think the next thing I did is I worked on what happens when prices are not made at the same time, not set at the same time, and wages are not set at the same time. That’s called staggered wages and staggered prices. Then I worked on what happened when there was some band in which people were indifferent in holding their money, so you didn’t decide to do anything about your money until you had more than some threshold level or less than some threshold, so that’s called target threshold. Then I’ve worked on bringing in anthropology and sociology into economics. Which is again the same thing, it’s sort of seeing what assumptions could be in economics, that should be there but aren’t.
So I’ve worried about what happens when there’s reciprocity, especially in the employment relationship. What’s happening when fairness is an issue? And I’m currently working on the importance, especially to the labour markets and to education, of peoples’ self-concept. I think that probably the most important decision that anyone makes in their life is who they think they are and who they want to be. And economists tend to think of price as being the most important decision that they make. I think working on the asymmetric information said that another aspect of markets was quality.
But then I think there’s this third aspect that hasn’t yet been incorporated, which is who we think we are and who we want to be. And I think that this is the root cause of poverty in developed countries. That if people think that they can do something, they think they can be anything, then in fact they will and so there will be much more social mobility than they have. And I think this is the leading cause of poverty in the United States, that there are people who just don’t see the potential and just don’t have the right self-concept.
So that’s your recent work on identity?
George A. Akerlof: That’s my recent work on identity, yes.";847;Research
